	time		p1		p2
   4.3100000e+00   3.7872649e-01  -1.3472745e-02
   4.3200000e+00   3.7872636e-01  -1.3472746e-02
   4.3300000e+00   3.7872624e-01  -1.3472748e-02
   4.3400000e+00   3.7872612e-01  -1.3472750e-02
   4.3500000e+00   3.7872599e-01  -1.3472752e-02
   4.3600000e+00   3.7872587e-01  -1.3472753e-02
   4.3700000e+00   3.7872575e-01  -1.3472755e-02
   4.3800000e+00   3.7872563e-01  -1.3472757e-02
   4.3900000e+00   3.7872550e-01  -1.3472758e-02
   4.4000000e+00   3.7872538e-01  -1.3472760e-02
   4.4100000e+00   3.7872526e-01  -1.3472762e-02
   4.4200000e+00   3.7872514e-01  -1.3472763e-02
   4.4300000e+00   3.7872501e-01  -1.3472765e-02
   4.4400000e+00   3.7872489e-01  -1.3472767e-02
   4.4500000e+00   3.7872477e-01  -1.3472769e-02
   4.4600000e+00   3.7872465e-01  -1.3472770e-02
   4.4700000e+00   3.7872452e-01  -1.3472772e-02
   4.4800000e+00   3.7872440e-01  -1.3472774e-02
   4.4900000e+00   3.7872428e-01  -1.3472775e-02
   4.5000000e+00   3.7872416e-01  -1.3472777e-02
   4.5100000e+00   3.7872403e-01  -1.3472779e-02
   4.5200000e+00   3.7872391e-01  -1.3472780e-02
   4.5300000e+00   3.7872379e-01  -1.3472782e-02
   4.5400000e+00   3.7872367e-01  -1.3472784e-02
   4.5500000e+00   3.7872354e-01  -1.3472785e-02
   4.5600000e+00   3.7872342e-01  -1.3472787e-02
   4.5700000e+00   3.7872330e-01  -1.3472789e-02
   4.5800000e+00   3.7872318e-01  -1.3472791e-02
   4.5900000e+00   3.7872305e-01  -1.3472792e-02
   4.6000000e+00   3.7872293e-01  -1.3472794e-02
   4.6100000e+00   3.7872281e-01  -1.3472796e-02
   4.6200000e+00   3.7872269e-01  -1.3472797e-02
   4.6300000e+00   3.7872256e-01  -1.3472799e-02
   4.6400000e+00   3.7872244e-01  -1.3472801e-02
   4.6500000e+00   3.7872232e-01  -1.3472802e-02
   4.6600000e+00   3.7872220e-01  -1.3472804e-02
   4.6700000e+00   3.7872208e-01  -1.3472806e-02
   4.6800000e+00   3.7872195e-01  -1.3472807e-02
   4.6900000e+00   3.7872183e-01  -1.3472809e-02
   4.7000000e+00   3.7872171e-01  -1.3472811e-02
